ProbeID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene
16693335,3.727059995,8.921920977,37.93145219,1.41E-08,0.000449815,8.56765387,LCE3D
16743751,2.130459357,7.083699235,33.58127403,3.00E-08,0.000508744,8.268720019,MMP12
17023707,2.708724405,8.130279489,32.16952557,3.90E-08,0.000508744,8.151837384,VNN1
16843511,1.547839445,9.443476594,30.53204786,5.39E-08,0.000508744,8.001319439,CCL5
17052348,1.79305882,8.888581699,30.22965969,5.73E-08,0.000508744,7.971591305,TMEM178B
16782975,1.741198561,8.930858833,26.53865849,1.28E-07,0.0008562,7.551200491,FOXG1
16693339,1.326651496,9.770962826,24.82687517,1.92E-07,0.000929669,7.313193605,LCE3A
16967771,2.729505123,9.848049501,24.49937978,2.09E-07,0.000929669,7.263956477,CXCL8
16743721,2.33021607,6.568846833,24.09183315,2.32E-07,0.000929669,7.200889104,MMP1
17075553,1.307134318,11.16588947,23.90705128,2.43E-07,0.000929669,7.171618597,STC1
16689354,1.269424923,8.122212263,23.39147079,2.78E-07,0.000991982,7.08763595,GBP2
16724861,1.520557722,7.798010318,22.35470771,3.67E-07,0.001155998,6.907840582,SERPING1
16909319,1.747595897,8.301831545,21.74356155,4.34E-07,0.001226088,6.794510357,DNER
16967779,2.214656258,6.138515132,21.74308606,4.34E-07,0.001226088,6.794419942,CXCL6
16971910,1.789951862,6.466669709,20.9891583,5.39E-07,0.001377077,6.646463906,RXFP1
16948177,1.693441079,5.480668627,20.0764196,7.08E-07,0.001606892,6.454316429,LINC02015
16852463,2.198412103,8.372303173,20.03568051,7.17E-07,0.001606892,6.445387186,RAB27B
16867784,2.228987181,10.02771308,20.02485456,7.19E-07,0.001606892,6.443009096,C3
16903931,1.218619962,6.914710903,19.73585535,7.86E-07,0.001640804,6.378701466,CYTIP
17080082,1.099294051,7.810648073,19.60196563,8.20E-07,0.001640804,6.348361448,ANGPT1
16743735,2.666053405,7.513562355,19.32911675,8.93E-07,0.001640804,6.285433224,MMP3
16990257,1.795913684,6.65511913,19.23282212,9.21E-07,0.001640804,6.262865822,PCDHB2
16886491,2.289771166,8.211617732,19.20556411,9.29E-07,0.001640804,6.256443231,TNFAIP6
17100888,1.005401949,8.136740972,19.13831354,9.49E-07,0.001640804,6.240532015,LOC102723630
17110289,1.282209445,6.357525867,18.72136355,1.09E-06,0.001763307,6.139763791,MAOB
16977058,2.170295876,7.685965038,18.55068482,1.15E-06,0.001809854,6.097435761,CXCL11
16963113,1.274996819,7.147420333,18.41931733,1.20E-06,0.001836075,6.06441878,APOD
16800680,1.153989082,9.416640205,18.00808252,1.38E-06,0.002005092,5.958532323,SQOR
16952782,1.206028922,10.10629051,17.65282865,1.55E-06,0.002135297,5.863867821,TMEM158
16683445,1.051399995,9.171654681,17.54894682,1.61E-06,0.002145651,5.835608744,FUCA1
16767335,1.023609061,7.529510193,17.48884193,1.64E-06,0.002145651,5.819136614,CPM
17105332,1.119132789,10.46803266,17.42327089,1.68E-06,0.002145651,5.801063774,SRPX2
17097072,1.15491312,7.407724422,17.35274755,1.72E-06,0.002145651,5.781505494,SVEP1
16667516,1.907799538,7.362953304,17.11641045,1.87E-06,0.002184672,5.715038572,PLPPR4
17123832,1.069260948,8.897654243,16.98611488,1.96E-06,0.002193314,5.677776003,FAM198B-AS1
17012946,1.310943086,9.488679119,16.29713968,2.53E-06,0.002420666,5.473125238,TNFAIP3
17112918,2.223874417,6.62962429,16.22297207,2.60E-06,0.002420666,5.450304192,BEX1
16673126,1.184215103,7.422457469,16.18963621,2.63E-06,0.002420666,5.439995259,RGS4
16901986,1.170674212,4.978382413,16.02953355,2.79E-06,0.002420666,5.3900334,IL1B
16967875,1.32482961,8.255351425,15.58452957,3.31E-06,0.002420666,5.247142293,PARM1
17023736,1.210133742,5.870123147,15.52875667,3.39E-06,0.002420666,5.228805165,VNN2
16736453,1.08102356,5.935609095,15.08062179,4.04E-06,0.002680518,5.077867166,SAA2
16904278,1.229715802,11.5743074,15.01008844,4.16E-06,0.002680518,5.05351363,DPP4
16971631,1.380043316,7.044388441,14.95284376,4.26E-06,0.002685409,5.033626167,TLR2
17117110,1.5834466,7.120811246,14.88426965,4.38E-06,0.002729059,5.009657425,CD24
16854301,1.006078589,7.968394973,14.68255813,4.75E-06,0.002793907,4.938222318,ANKRD29
16788620,1.008441777,9.567596481,14.66222647,4.79E-06,0.002793907,4.930943955,SNORD114-3
16995301,1.019183307,6.254873236,14.56557709,4.99E-06,0.002846021,4.896147265,RANBP3L
16778703,1.417372101,6.153267188,14.50304078,5.12E-06,0.002880356,4.873456674,KCTD4
16718306,1.698974711,5.601287488,14.26708965,5.65E-06,0.003062409,4.78658107,LOC105378477
16977052,1.938502669,8.516508462,13.95607413,6.46E-06,0.003199283,4.668935568,CXCL10
16848123,1.68329168,6.847671627,13.94948359,6.48E-06,0.003199283,4.666403162,ABCA8
16891774,1.74189833,6.013622828,13.94588143,6.49E-06,0.003199283,4.665018339,CCL20
16852871,2.437037476,6.942015863,13.75222798,7.06E-06,0.003378948,4.589833206,SERPINB2
16767081,1.259811827,8.106757849,13.20320724,9.02E-06,0.00383835,4.3685579,WIF1
17097661,1.293889257,9.400640444,12.91269095,1.03E-05,0.004194387,4.246386338,TNC
17019820,1.129274093,8.784947404,12.75908717,1.11E-05,0.004304191,4.180305352,PTCHD4
16843162,1.097478834,7.314602224,12.68953926,1.14E-05,0.004357166,4.150039694,EVI2B
17001324,1.619343467,5.631806878,12.45432128,1.28E-05,0.004517259,4.046047088,JAKMIP2
16689352,1.473604844,7.766098837,11.96055063,1.63E-05,0.005439396,3.819247971,GBP2
16988971,1.478618649,6.831147125,11.71564673,1.85E-05,0.005770635,3.702290322,CSF2
16723569,2.031738031,7.474386096,11.68707872,1.87E-05,0.005770635,3.688447217,EHF
16851259,2.107919125,5.627727039,11.63972421,1.92E-05,0.00581183,3.665407348,ANKRD30B
16858137,1.147774468,8.680445765,11.60173598,1.96E-05,0.005831948,3.646839819,ICAM1
16775725,1.009481047,6.793221059,11.49939963,2.06E-05,0.005977257,3.596442137,SLITRK5
16962661,1.258974677,6.932891221,11.27755283,2.32E-05,0.006271304,3.485259155,CLDN1
17052737,1.42835012,7.052143824,11.14246929,2.49E-05,0.00660355,3.416236448,PIP
17044177,1.424414519,7.860019279,10.9626177,2.74E-05,0.007029718,3.322743699,IL6
16667702,1.039834534,6.828237006,10.89304038,2.85E-05,0.007231054,3.286077054,VCAM1
17114701,1.276008901,9.121567432,10.60475441,3.34E-05,0.0080924,3.131111987,CDR1
17050765,1.245331075,8.252932738,10.33017583,3.89E-05,0.00858088,2.978812946,KCND2
16716501,1.007965967,7.710436008,10.31705911,3.92E-05,0.00858088,2.971419377,HECTD2-AS1
16707180,1.17566835,6.307754091,10.17177993,4.27E-05,0.008947667,2.888792393,IFIT2
17088442,1.124471352,6.269099054,10.15371966,4.31E-05,0.00899414,2.87842538,LOC105376235
17055786,1.266606181,7.176902291,10.0559836,4.56E-05,0.009171359,2.821952067,IL6-AS1
17025267,1.168583648,6.935642785,9.801634062,5.31E-05,0.009651277,2.671996188,SOD2
16909524,1.314545992,6.793362267,9.704286626,5.63E-05,0.010121146,2.61343368,SNORD82
16969051,1.190863847,6.045423934,9.593327824,6.02E-05,0.01040755,2.545873769,BMPR1B
17013090,1.259658719,5.533575128,9.185441506,7.76E-05,0.011862878,2.289868014,LOC100507477
16721585,1.891205994,6.538351798,8.861580388,9.56E-05,0.012808701,2.077631431,OLFML1
17048072,1.261267054,4.403125616,8.102902657,0.000160099,0.016831389,1.546718351,STEAP1
16995989,1.256149126,6.089851739,7.925490211,0.00018171,0.018244811,1.415254469,FGF10
16743647,1.341686273,6.491273305,7.559574313,0.000237765,0.021147959,1.134691759,MMP7
16876764,1.271658984,7.023855714,7.164998792,0.000321687,0.024122923,0.817161003,RSAD2
16730522,1.2155482,7.88743561,6.448399551,0.000577518,0.033915409,0.197185256,BIRC3
16722544,1.044614401,4.441144137,6.330520119,0.000638957,0.035948512,0.089467241,MRGPRX3
17122142,1.160452432,5.17104368,5.837188055,0.000991398,0.045715724,-0.380247182,CD177
17046998,-1.429718071,8.672779972,-29.51315377,6.64E-08,0.000508744,7.898552702,ELN
17005589,-1.322789014,7.845957269,-25.60792374,1.59E-07,0.000927424,7.425678999,H2AC8
17016369,-1.715427077,10.03420544,-22.51581863,3.51E-07,0.001155998,6.936782601,H2BC3
16870443,-1.624790095,9.864621522,-21.03956426,5.31E-07,0.001377077,6.656649406,CRLF1
16813026,-1.019388755,6.91546531,-19.51437234,8.42E-07,0.001640804,6.328321498,LOC105370960
17005865,-1.700221596,11.7647876,-19.01350184,9.87E-07,0.001654347,6.210753079,H2BC14
16804506,-1.063853873,7.100196892,-16.09581751,2.72E-06,0.002420666,5.410809078,ACAN
16835592,-1.078107534,9.90595289,-15.89480488,2.94E-06,0.002420666,5.347403758,NGFR
16997802,-1.123018024,9.01422319,-15.8215767,3.02E-06,0.002420666,5.324005566,HAPLN1
16682402,-1.215917648,11.02467844,-15.67868442,3.19E-06,0.002420666,5.277879127,PADI2
16792954,-1.232231047,10.94481783,-15.27159813,3.75E-06,0.002643256,5.142983418,NID2
16677071,-1.215014697,8.970564829,-14.16790353,5.90E-06,0.003067461,4.749454995,SERTAD4
16698174,-1.055135203,10.30483237,-13.31925139,8.56E-06,0.003758345,4.416356227,MYBPH
17120106,-1.06122069,8.025731527,-11.75687235,1.81E-05,0.005734064,3.722192511,PSAT1
16871915,-1.112289784,8.148204716,-10.55472646,3.43E-05,0.00821946,3.103710865,PPP1R14A
16804062,-1.134754532,6.431181194,-10.30489304,3.95E-05,0.00858088,2.964551886,TM6SF1
16849697,-1.033755158,7.597615592,-7.897646628,0.000185397,0.018442359,1.394356669,NPTX1
17117463,-1.200729779,5.016166828,-6.612850375,0.000502737,0.031234385,0.34467018,PLXDC2
17016509,-1.138586819,6.526462485,-6.07596103,0.000798842,0.040637082,-0.149016658,H3C12